Cargo,Local,Empresa,Descrição,Link
Engenheiro(a) de Dados,"São Carlos, SP",2HRH | Hprojekt,Atuar na evolução de capacidades de ecossistema Hadoop;Avaliar processos e direcionar adequações nas soluções visando otimização de performance de código e de…,https://www.indeed.com/rc/clk?jk=29e68d975c92427a&fccid=ecfe997e44834207&vjs=3
Pessoa Engenheira de Dados Sênior,"Porto Alegre, RS",Lojas Renner S.A.,Essa pessoa atuará em conjunto com os times de ciência de dados e de machine learning:No desenvolvimento e no uso de tecnologia de dados para projetos da…,https://www.indeed.com/rc/clk?jk=564c3717121b0472&fccid=0421650f9c724b35&vjs=3
Engenheiro de dados Alteryx Sr.,"São Paulo, SP",Keyrus Brazil,Vai participar de squad de desenvolvimento para projeto de consolidação de orçamento de rede.Engenheiro de Dados Alteryx Sênior responsável pela criação de…,https://www.indeed.com/rc/clk?jk=3c57ab9339d213c8&fccid=59d45a7a1694e6f1&vjs=3
Engenheiro de Dados PowerCenter + BDM JR,"São Paulo, SP",Keyrus Brazil,Banco de dados SQL Server.Ferramentas de ETL (Power Center e BDM).Nossa missão é Auxiliar as empresas a extrair todo o potencial de Dados e Digital…,https://www.indeed.com/rc/clk?jk=73ea6a0192a47197&fccid=59d45a7a1694e6f1&vjs=3
Engenheiro de Dados Jr,"São Carlos, SP",Experian,"Desenvolvimento e suporte de software de captação de dados (Crawler, scraper).Diagnosticar falhas de processamento consolidando informações de banco de dados…",https://www.indeed.com/rc/clk?jk=89a81401f6d293fd&fccid=75a3a5a15b202084&vjs=3
Engenheiro(a) de Dados,"Curitiba, PR",hilab,Experiência em desenvolvimento de pipeline de dados;Manutenção e atualização do pipeline de dados;Garantir a disponibilidade de dados para o resto da empresa;,https://www.indeed.com/rc/clk?jk=c5951a068217f7e3&fccid=9c153ebce0b1408f&vjs=3
Engenheiro de Dados Senior Power Center,"São Paulo, SP",Keyrus Brazil,Solução de problemas (busca de soluções).Conhecimento básico de Shell script.Conhecimento de queries em SQL (Oracle);Facilidade para o trabalho em equipe;,https://www.indeed.com/rc/clk?jk=93d95e4cd61ba8c8&fccid=59d45a7a1694e6f1&vjs=3
@ Engenheiro de Dados Senior (Python + GCP),"São Paulo, SP",Keyrus Brazil,"Espera-se que este profissional tenha conhecimento em técnicas de captura, tratamento e estruturação de dados em arquitetura de processamento de dados com…",https://www.indeed.com/rc/clk?jk=c4249f966ed7e376&fccid=59d45a7a1694e6f1&vjs=3
Gerente - Engenheiro/a de Dados,Brasil,EY,Auxilia no Desenvolvimento de novos estudos baseado em diferentes tipos de dados.Com os fornecedores de dados identificados para cada necessidade.,https://www.indeed.com/rc/clk?jk=7e4c9e1342a1ea5c&fccid=1544766d4c2915b0&vjs=3
Engenheiro de Dados - Sênior,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Curso de inglês e espanhol (in company) - Após 03 meses de empresa.Atuar em cliente com os itens abaixo.,https://www.indeed.com/rc/clk?jk=6b5982268418498a&fccid=20001ab64f271f8d&vjs=3
Engenheiro de Dados,"Blumenau, SC",AMcom | Make IT real,"Bibliotecas de manipulação de arquivos e visualização de dados;Plataforma de Banco de dados Oracle;Criar pipelines confiáveis de integração de dados,…",https://www.indeed.com/rc/clk?jk=6317af570bca7ee7&fccid=d58c46b75d86250b&vjs=3
Engenheiro de Dados Big Data Sr,"São Paulo, SP",Prowork Consultoria,Desenvolvimento de soluções com grandes volumes de dados;Criação de modelos de dados analíticos e indicadores;Experiência com modelagem dimensional de dados;,https://www.indeed.com/rc/clk?jk=12dfa172be980aa1&fccid=ce1ea72f8e039a1d&vjs=3
@ Engenheiro de Dados Senior (Azure + Python),"São Paulo, SP",Keyrus Brazil,Engenheiro de Dados Senior responsável pelo fluxo de ingestão de dados:Construir pipelines de extração de dados de diversas fontes e armazenar em um Azure Data…,https://www.indeed.com/rc/clk?jk=48e676742f83064e&fccid=59d45a7a1694e6f1&vjs=3
Engenheiro de Dados Pleno,"Belo Horizonte, MG",Paola Salgado Gestão de Carreira,\*Gerenciamento de banco de dados na nuvem;\* Atuar na estruturação de plataforma de dados no Azure;Estamos em busca de um profissional que curta análise de…,https://www.indeed.com/company/SF-empresarial/jobs/Engenheiro-Dados-Pleno-867fa2ec7831cc52?fccid=6647e8d9dea63baa&vjs=3
Engenheiro de Dados SR,"Curitiba, PR",LogComex,"Desenvolver, construir, testar e manter as arquiteturas dos bancos de dados e sistemas de processamento de dados em tempo real e de forma distribuída;",https://www.indeed.com/rc/clk?jk=ab8fa78c87c1ba42&fccid=be47abca78d46fd7&vjs=3
[Zoly] Analista Engenharia de Dados,"São Paulo, SP",ZOLY,"Acompanhamento, aplicação e evolução de fluxos de processamento de dados utilizando ferramentas de automação, scripts e queries.",https://www.indeed.com/rc/clk?jk=520f98bba1c458b7&fccid=5fb65ee619c76cd6&vjs=3
Engenheiro de Dados Big Data Sr,"São Paulo, SP",People Talent,Desenvolvimento de soluções com grandes volumes de dados;Criação de modelos de dados analíticos e indicadores;Experiência com modelagem dimensional de dados;,https://www.indeed.com/rc/clk?jk=d32f22e7dd6732cc&fccid=60f824d29fbc1891&vjs=3
Engenharia de Dados | Pleno/Sênior,Brasil,Compasso UOL,Construir scripts de transformação de dados transacionais e analíticos;Montar arquiteturas e repositórios de dados na AWS;O que você vai encontrar por aqui:,https://www.indeed.com/rc/clk?jk=724f2ff485a44ca6&fccid=6621f80bf2653f52&vjs=3
Engenheiro De Dados (Azure) - DV,"Campinas, SP",Divulga Vagas, Irá atuar no desenvolvimento de Pipelines de ingestão e tratamento dos dados em ambientes big data e também transacionais.,https://www.indeed.com/rc/clk?jk=1be3d5639422fb1b&fccid=1abbffd7f44ec1e9&vjs=3
Engenheiro de Dados BI Sr.,"São Paulo, SP",People Talent, Atualizar e acompanhar indicadores de disponibilidade e processamentos de dados nas ferramentas de. Analisar e corrigir eventuais problemas na execução de…,https://www.indeed.com/rc/clk?jk=ffd4d333dd8f342a&fccid=60f824d29fbc1891&vjs=3
