Cargo,Local,Empresa,Descrição,Link
Engenheiro(a) de Dados sênior AWS,"São Paulo, SP",GeekHunter,"Conhecimento com modelos de integração de dados, ambientes complexos de integração de dados (em ambientes de BI e Big Data).O que você irá fazer?",https://tinyurl.com/yaom6f52
Engenheiro de dados Pleno,"São Paulo, SP",Synapcom,"Experiência com bancos de dados SQL.Experiência com modelagem de dados;Será responsável por implementar pipeline de dados, utilizando as ferramentas: ETL e…",https://tinyurl.com/y83ppl8q
Engenheiro(a) de Dados sênior Python,"São Paulo, SP",GeekHunter,Administração de ambientes de dados (implantação de pacotes de solução).Interação com a equipe funcional e engenheiros de dados para entender os requisitos a…,https://tinyurl.com/y8nq8ode
Engenheiro de Dados Sênior Cód.: 265218,"São Paulo, SP",Mirante Tecnologia,"Obrigatórios: Para esta posição é necessário possuir sólida vivência técnica Oracle 12g (modelagem e manipulação de dados), Desenho e Implantação de soluções BI…",https://tinyurl.com/yd5a7j7n
Engenheiro de Dados.,"São Paulo, SP",Hprojekt,"Compreensão de estruturas de dados, modelagem de dados e arquitetura de software;Selecionar conjuntos de dados apropriados e métodos de representação de dados;",https://tinyurl.com/y7cotdp6
Especialista em TI ( Engenheiro de Dados - ETL) - CSC TI - I...,"Rio de Janeiro, RJ",Rede D'Or São Luiz,ESPERE DE NÓS: Oportunidade de influenciar a adoção de métodos práticos de engenharia de dados em companhia de grande porte Trabalhar com as mais novas…,https://tinyurl.com/yczvcwdu
Engenheiro de Dados,"Campinas, SP",#vempraGateware,Responsável por encontrar tendências nos conjuntos de dados e desenvolver algoritmos para transformar os dados brutos em informações úteis para tomada de…,https://tinyurl.com/y7ea2gbo
Engenheiro(a) de Dados,"São Paulo, SP",Sami,"Organizar nossas massas de dados, prepará-las para o uso dos times de Analises, nosso modelador de dados.Estruturar a área de Engenharia de Dados.",https://tinyurl.com/y7qa6afa
Engenheiro de Dados - Quios Invest,"São Paulo, SP",Semantix,"Comunicação com parceiros e feeders de dados.Buscar novos feeders de dados público e privados de parceiros Quios, direcionados pela nossa área de negócio e…",https://tinyurl.com/y83yb7pt
[REMOTO] Engenheiro de Dados Sr.,"São Paulo, SP",RADIX Engenharia e Software,"Manipular, processar e extrair valor ou soluções de negócio de grandes conjuntos de dados desconectados;Manipulação de dados em SQL;Que tal fazer parte disso?",https://tinyurl.com/yc8powc3
Engenheiro/a de Dados Senior Splunk,"São Paulo, SP",EY,"Se posicionar como uma liderança técnica para demandas de engenharia de dados.Construção de painéis, ingestão de dados, otimização de consultas, melhorias em…",https://tinyurl.com/y9yco2co
Engenheiro(a) de Dados,"São Paulo, SP",Algar Tech,Engenheiros de dados são membros vitais de qualquer equipe corporativa de análise de dados.Responsáveis por encontrar tendências nos conjuntos de dados e…,https://tinyurl.com/y7petkab
Engenheiro(a) de Dados PL (Crawler),"Curitiba, PR",MadeiraMadeira,"Sua principal missão será atuar na captação de dados de sites terceiros e armazenamento no Data Lake House da empresa, contribuindo ativamente com os processos…",https://tinyurl.com/y7gxltlm
Engenheiro de Dados Sênior,"Belo Horizonte, MG",Core Synesis Ltda,"A carteira de clientes se caracteriza por um alto grau de Fidelização e um índice de satisfação em torno de 90%, conforme pesquisas realizadas.",https://tinyurl.com/yd6lb7qx
Data Engineer (Data Engineering) (Engenheiro de dados) Júnio...,"Campinas, SP",Ewave do Brasil,"Como Engenheiro de Dados, você será responsável por projetar, desenvolver e implantar desenvolvimento de ETLs para processar petabytes de dados por meio de…",https://tinyurl.com/y98aljtk
Engenheiro/a de Dados Pleno,"São Paulo, SP",Ernst & Young,Coordenar o desenvolvimento de novos estudos baseado em diferentes tipos de dados.Coordenar a criação e manutenção de pipeline de dados utilizando os sistemas…,https://tinyurl.com/ydx74flo
Engenheiro de Dados/Analytics,"Florianópolis, SC",Carreiras na BoletoFlex,"Experiência em áreas de gerenciamento de dados, incluindo modelagem de dados, qualidade de dados e outras áreas diretamente relevantes para a engenharia de…",https://tinyurl.com/ybkbdejs
Engenheiro de Dados,"Jacareí, SP",Yoctoo,"Os membros da equipe devem ser engenheiros ou engenheiros de dados e/ou possuir experiência em aplicações de pipeline/streaming de dados (MLflow, Airflow, Kafka…",https://tinyurl.com/ybvucdkv
Engenheiro de Dados,"Porto Alegre, RS",Lojas Renner,"O engenheiro de dados será responsável por prover a estrutura de dados e os dados em si que a Squad precisa para cada caso de uso ou necessidade, assim como…",https://tinyurl.com/y8yt4awx
Engenheiro de Dados Sênior ( remoto),"São Paulo, SP",Holden Consultoria & Rh Ltda,Experiência em banco de dados SQL SERVER;Experiência em Desenvolvimento e modelagem de Data Warehouse;Experiência em arquitetura e processos de cargas para…,https://tinyurl.com/y7c8svge
Engenheiro(a) de Dados (remoto) Airflow,"Palhoça, SC",GeekHunter,Responsável pela administração e gerenciamento das cargas de dados ETLs da Calcard.Atuar nos projetos de Criação dos DataMarts de acordo com os objetivos do…,https://tinyurl.com/ya8ktabs
Engenharia de Dados Pleno **,Remoto,A3Data,"Integração das plataformas de visualização de dados com Cloud.Experiência com ferramentas de orquestração de pipeline de dados (Airflow, StepFunctions ou…",https://tinyurl.com/yat8jt2j
Engenharia de Dados - GCP | Pleno/Sênior,Brasil,Compasso UOL,Construir scripts de transformação de dados transacionais e analíticos;Trabalhar com processamento de volumes massivos de dados em streaming e batch.,https://tinyurl.com/yaytpbzm
Engenheiro de Dados,"São Paulo, SP",Dedalus Prime,Ajudar na formação de uma equipe de dados focada na construção e sustentação de projetos de dados;Capacidade de analisar e solucionar problemas de dados…,https://tinyurl.com/y6wo2zq8
Engenharia de Dados - Junior e Pleno,"Belo Horizonte, MG",A3Data,"Conhecimento de modelagem de dados.Extração de dados de diversas fontes como API, SFTP, diretório mapeado e com banco de dados como SQL.",https://tinyurl.com/y759wkpz
Engenheiro de Dados - Sênior | Java e Hadoop,"São Paulo, SP",Semantix,"Quer impactar bilhões de vidas com dados?Formato de dado: Parquet, Pyspark.Atuar no processamento de dados por meio do Spark (Python);SQL em Hive e Impala.",https://tinyurl.com/ycxkvqut
Engenheiro de Dados | COE Analytics,"Rio de Janeiro, RJ",Grupo Globo,Possibilidade de impactarpositivamente a vida de milhares de pessoas;Realizar analises complexas em grandes volumes de dados para responder a questões-chave do…,https://tinyurl.com/ydozraea
Engenheiro/a de Dados Pleno Splunk,"São Paulo, SP",EY,"Se posicionar como uma liderança técnica para demandas de engenharia de dados.Construção de painéis, ingestão de dados, otimização de consultas, melhorias em…",https://tinyurl.com/y7k7zg3d
Data Engineer (Data Engineering) (Engenheiro de dados) Pleno,"Campinas, SP",Ewave do Brasil,"Como Engenheiro de Dados, você será responsável por projetar, desenvolver e implantar desenvolvimento de ETLs para processar petabytes de dados por meio de…",https://tinyurl.com/yazkghgj
Consultor(a) Engenharia de Dados,"São Paulo, SP",Avanade,Com a manipulação de dados e criação de processos de ETL.Domínio de técnicas de processos de ETL/Modelagem dimensional;Ter conhecimento de metodologia ágil;,https://tinyurl.com/yz6k848k
Engenheiro de Dados Sênior,"São Paulo, SP",Mttechne,"Atuação com banco de dados..Experiência de implementação de Banco de Dados SQL e NoSQL (Cassandra, MongoDB);.Conhecimento em Ferramentas de ETL;",https://tinyurl.com/y8mf65j9
Consultor(a) de Engenharia de Dados Sr,"São Paulo, SP",Avanade,Com a manipulação de dados e criação de processos de ETL.Domínio de técnicas de processos de ETL/Modelagem dimensional;Ter conhecimento de metodologia ágil;,https://tinyurl.com/y6uf3mx8
Engenheiro(a) de Dados Pleno,"Belo Horizonte, MG",BHS,"Conceitos de pipeline de engenharia de dados.Ambiente de engenharia de dados com conhecimentos sólidos de modelagem de dados, consultas usando SQL, scripts e…",https://tinyurl.com/y7na5buu
Engenheiro de Dados Pleno,"São Paulo, SP",Elo7,"Somos um time de engenheiros responsável por construir a infraestrutura de dados voltada a eventos, gerando dados de suporte à tomada de decisão para a empresa.",https://tinyurl.com/y97k2xom
Engenheiro de Dados - Spark & Cloudera,"São Paulo, SP",Semantix,Ira realizar migração e atividades de engenharia de dados.Quer impactar bilhões de vidas com dados?Habilidades analíticas e lógicas de resolução de problemas;,https://tinyurl.com/y4vj3ps6
ENGENHEIRO DE DADOS,"São Paulo, SP",AlfaCon,"Conhecimento de projetos técnicos e funcionais para as áreas de bancos de dados, data lake, relatórios e mineração de dados;Você quer trabalhar com Big Data?",https://tinyurl.com/y29oe9wa
Cientista de Dados e Engenheiro(a) de Machine Learning,"Florianópolis, SC",CERTI,Cientista de dados com experiência em treinamento de modelos de Inteligência Artificial e implementação de serviços de predição em nuvem;,https://tinyurl.com/yazggkgk
Engenheiro(a) de dados (CSC Jaguariúna),"Jaguariúna, SP",Ambev,Paixão por engenharia de alta qualidade.Construção/consolidação e automação de dados.Plano de saúde + odontológico.Venda de produtos para funcionários.,https://tinyurl.com/y77cjvau
Engenheiro(a) de Dados ETL,"São Paulo, SP",GeekHunter,Implementar soluções de extração de dados;Monitorar e assegurar a execução dos pipelines de extração de dados;Processamento de dados em Batch e Streaming;,https://tinyurl.com/y9bthhgh
Engenheiro de dados,"São Paulo, SP",Holos Media,"A Holos Media trabalha no planejamento e gestão de campanhas de mídia online, análise de métricas e dados, estratégias de posicionamento orgânico e inteligência…",https://tinyurl.com/y6qujc6y
"Engenheiro de Dados Júnior, Pleno e Sênior","São Paulo, SP",Porto Seguro,"Experiência com ferramentas de ETL e integração de dados;Conhecimentos em modelagem e qualidade de dados;Trata-se de uma área estratégica da TI, que habilita…",https://tinyurl.com/y676r7no
Engenheiro de Dados Sênior,"São Paulo, SP",Porto Seguro,"Experiência com ferramentas de ETL e integração de dados;Conhecimentos em modelagem e qualidade de dados;Trata-se de uma área estratégica da TI, que habilita…",https://tinyurl.com/ya28q8r3
Engenheiro de Dados Sr.,"São Paulo, SP",3CON,MBA em Projetos de Sistemas.Estamos em busca de um(a) Engenheiro de Dados Sr. para atuar numa das maiores varejistas do país!Faça parte desse time❗️.,https://tinyurl.com/ycwnsmp6
Engenheiro (a) de Dados Sênior,"Curitiba, PR",Olist,"Construir junto com o time de engenharia de dados os pipelines de dados em evoluções e projetos de data e analytics, em ambientes de Data Warehouse e Data Lakes…",https://tinyurl.com/y32td6zt
Engenheiro de Dados,"Curitiba, PR",Ewave do Brasil,"Engenheiro de Dados Sênior - Construir fluxos de ETL, desde o mapeamento das fontes de dados e sistemas legados, até o tratamento e aplicação de regras de…",https://tinyurl.com/y7v7t3at
engenheiro(a) de dados pleno,"São Paulo, SP",enjoei,Experiência com ingestão de dados em batch.O (a) engenheiro (a) de dados será responsável pela governança dos principais dados da empresa e por fornecê-los da…,https://tinyurl.com/yyydmtzg
ESPECIALISTA ENGENHEIRO DE DADOS,"Rio de Janeiro, RJ",Energisa - Recrutamento Externo,"Construir, otimizar e executar scripts de atualização de dados de forma performática;Garantir as melhores práticas de modelagem e persistência de dados;",https://tinyurl.com/yxqyra3y
Engenheiro de Dados - Sênior | Python & Spark,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Atuar de forma consultiva na Ingestão e tratamento de dados com Python e Spark;,https://tinyurl.com/y6pvkpl4
Engenheiro(a) de Dados Hadoop,"Brasília, DF",GeekHunter,Conhecimento de modelagem de dados e SQL;Experiência na criação de rotinas de preparação de dados para análises (ETL);O que você irá fazer?,https://tinyurl.com/y56ry4n2
Pessoa Engenheira de Dados,"São Paulo, SP",DogHero,Em parceria com os times de Produto e Engenharia implementar o sistema de rastreamento de dados.Criar pipelines de dados e ETL para a implementação de Data…,https://tinyurl.com/y3xqb7yk
Engenheiro De Dados Foco Em AWS - São Paulo - SP,"São Paulo, SP",Líder e Gestão,"Titulo: Engenheiro de Dados Foco em AWS - São Paulo - SPDescricao: Vaga PJ.Turno: Turno Não InformadoRequisitos: Python, No sql, Sql, Etl, Spark.",https://tinyurl.com/y6dhc3f2
engenheiro(a) de dados sênior,"São Paulo, SP",enjoei,Experiência com ingestão de dados em batch.O(a) engenheiro(a) de dados será responsável pela governança dos principais dados da empresa e por fornecê-los da…,https://tinyurl.com/y3ujap94
Engenheiro de Dados Júnior,"São Paulo, SP",Lendico Brasil,Análise das fontes de geração de dados.Estamos buscando uma pessoa altamente motivada e qualificada para se juntar à missão de democratizar o uso de dados em…,https://tinyurl.com/y4py2wkg
[SP] Engenheiro de Dados,"São Paulo, SP",RADIX Engenharia e Software,"Transformar de dados (manipulação de dados, estruturação de dados, transformações matemáticas, transformações estruturais, leitura e parse de arquivos - excel,…",https://tinyurl.com/yycf3fly
Engenheiro de Dados - Spark & Oracle,"São Paulo, SP",Semantix,"Engenheiro de dados para programação SQL, de preferência com certificação Oracle.Quer impactar bilhões de vidas com dados?",https://tinyurl.com/y2kyjkmg
Engenheiro de Dados II,"Rio de Janeiro, RJ",PEBMED,"Conhecimentos sólidos de banco de dados, padrões e casos de uso;Construir códigos e scripts de limpeza e tratamento de dados, deduplicação, ajuste de missing…",https://tinyurl.com/y4cu6s3h
Engenheiro de Qualidade de Dados - Pleno,"Campinas, SP",#vempraGateware,"Gerenciar transformações de serviços de dados e Data Quality usando SQL: analisando dados redundantes e inconsistentes.VR ou VA: R$ 511,00 (mensais);",https://tinyurl.com/y5ypn7v8
@ Engenheiro de Dados Python + GCP,"São Paulo, SP",Keyrus Brazil,"Capacidade de análise de soluções apropriadas e criá-las tecnicamente, com a qualidade apropriada (testes em QA, criação de massas de testes, etc).",https://tinyurl.com/y25gp8jp
Engenheiro de Dados Senior - Java & Spark,"São Paulo, SP",Semantix,"Será responsável pelo entendimento e recebimento de atividades relacionadas a engenharia de dados, irá realizar o desenvolvimento e passagem para sustentação.",https://tinyurl.com/y35ypbrs
Engenheiro(a) de Dados (remoto) SQL,Brasil,GeekHunter,O que você irá fazer?At least 3 years of extensive experience.Report to Co-Founder/Managing Partner.Data-driven analytical mindset with 'can-do' attitude.,https://tinyurl.com/y2bcdjfs
Especialista em Engenharia de Dados (AWS),Remoto,Funcional Health Tech,"A área de Data Engineering é responsável por realizar a manutenção do Data Warehouse atual, assegurando um processo de transação de dados para ambiente em cloud…",https://tinyurl.com/y6yygcxx
Engenheiro de Dados JR,"São Paulo, SP",HAYS,"Engenheiro de dados JR - CLT.Conhecimento em bancos de dados (MySQL, MS-SQL).Empresa multinacional com abrangência mundial em consultoria de soluções de…",https://tinyurl.com/yddvgj7h
