Cargo,Local,Empresa,Descrição,Link
Dados da vaga Analista De Comunicação Interna em RS,"Porto Alegre, RS",PONTIFICIA UNIVERSIDADE CATOLICA DO RS-CAMPUS POA...,"Gerenciar canais de comunicação permanente com colaboradores, monitorando indicadores de resultado;Experiência consolidada em gestão de projetos/planos…",https://tinyurl.com/y8nt39ok
Dados da vaga Analista De Comunicação E Marketing - Atendime...,"Porto Alegre, RS",PONTIFICIA UNIVERSIDADE CATOLICA DO RS-CAMPUS POA...,Capacidade de gerenciamento de projetos de comunicação e marketing;Experiência na elaboração de soluções de comunicação e marketing;,https://tinyurl.com/yd828bvb
Analista de Dados Sênior,Remoto,Supero Tecnologia,Será sua responsabilidade a construção e manutenção de pipelines de dados; Definição e implementação de arquiteturas escaláveis de processamento de dados;…,https://tinyurl.com/y96rozma
Analista de Banco de Dados (Software),"Ribeirão Preto, SP",Integrarh Consultoria e Gestao de Pessoas LTDA - M...,"Assegurar o controle, administração e estabelecimento dos modelos lógicos e físicos da estrutura do banco de dados da empresa; - Administrar a estrutura do…",https://tinyurl.com/y9t4cqjh
Analista de Dados,"São Paulo, SP",Curriculum.com.br,Cientista/Analista de Dados- Qualidade Médica Gerar análises e insights de oportunidades de negócios que tragam valor para nosso paciente; Gerar de indicadores…,https://tinyurl.com/ydyc6rxp
Dados da vaga Analista De Comunicação E Marketing - Conteúdo...,"Porto Alegre, RS",PONTIFICIA UNIVERSIDADE CATOLICA DO RS-CAMPUS POA...,"Sólida experiência em gestão e produção de conteúdo para plataformas digitais.Experiência em produção e performance de conteúdo, SEO e SEM.",https://tinyurl.com/yco2md74
Analista de Dados Pleno - 100% Remoto,Brasil,Deal Technologies,"Tratamento de bases de dados e apresentação dos mesmos.Preferencialmente em ferramentas de big data (Hive), podemos acompanhar também SAS caso não seja…",https://tinyurl.com/y96trrqo
Analista de Visualização de Dados Sr,"Recife, PE",Avanade,"Na implementação de planos de projeto em torno de ferramentas de relatórios, painéis de informações, geradores de dados e outros portais ou recursos de…",https://tinyurl.com/y6ut3vkt
Analista Engenharia de Dados Sr.,"São Paulo, SP",Avanade,Com a manipulação de dados e criação de processos de ETL.Modelar os dados em um ambiente de BigData / DataWareHouse.Amar a área de tecnologia.,https://tinyurl.com/y8cfzvez
Analista de Dados Pleno - Interlagos,"São Paulo, SP",None,Tarefas pertinentes a rotina de Analista de Dados Pleno.Empresa de tecnologia admite Analista de Dados Pleno em São Paulo (Interlagos) para atuar em Tempo…,https://tinyurl.com/y2jtrks7
Analista de Dados,"São Paulo, SP",RankMyAPP,Experiência com gestão de dados.Conhecimento de tracking links e postbacks (enviar e receber os dados através de parâmetros e macros);,https://tinyurl.com/yb3gayqh
Analista de Dados e CRO (eCommerce),Brasil,Sallve,"Sua missão será propor e executar os testes AB do site, além de mergulhar nos dados de conversão modelando dashboards e acompanhar de perto nosso projeto de…",https://tinyurl.com/ybdprfk5
