Cargo,Local,Empresa,Descrição,Rating
CIENTISTA DE DADOS,"Campinas, SP","Amyris, Inc.","
Líderes em biologia sintética, começamos em 2003 com uma bolsa da Fundação Bill & Melinda Gates para criar uma molécula para tratar a malária.
Postado há 6 dias·","3,4"
CIENTISTA DE DADOS SÊNIOR | PRODUCT ANALYTICS | B2B,Home office,Open Co,"
Queremos impulsionar a vida financeira dos brasileiros com mais oportunidades.
Construção, implantação e monitoramento de modelos supervisionados e não…
Postado há 3 dias·",Sem informacao
CIENTISTA DE DADOS PL,"Home office in Fortaleza, CE",FortBrasil,"
Convênio com o Cartão Vai Bem;
Postado há 19 dias·","4,3"
CIENTISTA DE DADOS - POLÍTICAS DE COBRANÇA,Home office,Open Co,"
Facilidade com programação para análise de dados (Ex: Python, SQL, SAS);
Queremos impulsionar a vida financeira dos brasileiros com mais oportunidades.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS SENIOR (NLP),Home office,Venha para a NeuralMed,"
Experiência trabalhando como cientista de dados há no mínimo 3 anos.
Conhecimentos de técnicas de machine learning gerais, entendendo o ciclo de vida de um…
Postado há 23 dias·",Sem informacao
CIENTISTA DE DADOS - DATA LAKE,"São Paulo, SP",FCamara,"
Experiência em coleta, agregações, data cleaning/cleansing e ingestão de dados com grandes volumes ou grande taxa de entrega.
Conhecimento em AWS e Azure.
Postado há 19 dias·",Sem informacao
CIENTISTA DE DADOS JR.,"São Paulo, SP",Sua Musica,"
Vem fazer parte do nosso time de BI.
Básico de programação (Python e SQL);
Graduação completa ou em curso (Engenharias, Ciência da computação, Física,…
Postado há 22 dias·",Sem informacao
CIENTISTA DE DADOS,"Home office in São Paulo, SP",Favo Brasil,"
Visualização de dados (QuickSight, Tableau, Looker, etc.);
Tudo isso, garantindo dinheiro no bolso do Empreendedor Favo, que não precisa fazer nenhum…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS PLENO,Home office,Home office,"
Saber manipular banco de dados relacional;
Postado há 30 dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",GrupoSC Distribuidora de Medicamentos,"
Ajudar a definir ferramentas adequadas para o ambiente;
Apresentar e defender os modelos para diversos públicos;
Postado há 19 dias·","2,3"
CIENTISTA DE DADOS PL,Home office,Conta Simples,"
Nosso time é focado em desenvolver uma ferramenta cada vez melhor e mais segura para nossos clientes, traz para o dia a dia o espírito de agilidade e inovação.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS EM DESENVOLVIMENTO COMERCIAL,"Barueri, SP",Cielo,"
Também trabalhará muito próximo da força de vendas realizando discoveries e visitas presenciais para entender as necessidades e desenvolver soluções que sejam…
Postado há 13 dias·","4,2"
CIENTISTA DE DADOS,"Home office in São Paulo, SP",Eniwine,"
Nesse desafio, sua missão será: - Atuar de forma estratégica, com autonomia, aproveitando habilidades analíticas e preditivas para gerar insights de negócios,…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"Brasília, DF",MIRANTE TECNOLOGIA,"
Conhecimento em banco de dados DB2, SQL Server, e desejável MPP (CP4D, Netezza, Pure Data);
Conhecimento em tecnologias relacionadas a Big Data (HDFS, Spark,…
Postado há 30+ dias·","3,9"
CIENTISTA DE DADOS - SAO PAULO,"São Paulo, SP",OEmprego,"
Experiência com gestão, manipulação e análise de dados, preferencialmente dados de Marketing, Negócio, Finanças ou Bancários.
Postado há 8 dias·",Sem informacao
CIENTISTA DE DADOS,"Home office in Joinville, SC",Inklua Servicos Para Inclusao de Pcd Ltda,"
Desenvolvimento de soluções baseadas em machine learning.
Bom relacionamento e comunicação interpessoal.
Postado há 5 dias·",Sem informacao
CIENTISTA DE DADOS | TECNOLOGIA PARA PRODUTOS DIGITAIS,Home office,Globo,"
Bancos de dados relacionais (SQL é obrigatório);
Os seus dados pessoais serão utilizados para fins de seleção de candidatos para preenchimento das vagas abertas…
Postado há 30+ dias·","3,5"
CIENTISTA DE DADOS PLENO,Home office,Banco Bmg - Trabalhe conosco,"
Habilidade e vivência computacional com Banco de dados (SQL, ORACLE, etc) visando a extração, limpeza, tratamento e organização dos dados;
Postado há 30+ dias·",Sem informacao
"CIENTISTA DE DADOS (PYTHON, JAVASCRIPT, E NODE.JS)",Home office,Turing.com,"
Experiência demonstrável na ciência dos dados.
Experiência com projetos de ciência de dados auto-gerenciados.
Conduzir unit tests e revisões de código.
Postado há 9 dias·",Sem informacao
CIENTISTA DE DADOS SR,Home office,Vem ser CESAR!,"
Formação superior em cursos como Engenharia da Computação, Ciência da Computação, Engenharia Elétrica ou similares.
Descontos em cursos da CESAR School.
Postado há 16 dias·",Sem informacao
CIENTISTA DE DADOS,"Campinas, SP",Eldorado,"
Atuar como engenheiro de dados em parceria com grande empresa multinacional.
Bons conhecimentos em linguagem SQL.
Postado há 30+ dias·","3,7"
CIENTISTA DE DADOS SÊNIOR,Home office,Qexpert,"
Coordenação, cooperação e comunicação tanto com o time técnico quanto com a área de negócios;
Formação na área de ciências exatas, tecnologia, engenharias, ou…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"Home office in São Paulo, SP",ViaHub,"
Diploma em um campo como estatística, ciência da computação, matemática ou engenharias ou mais de 2 anos de experiência prática trabalhando com ciência de dados…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS (PROCESSAMENTO EM LINGUAGEM NATURAL (NLP)...,Home office,Indra,"
NLP SOM STT (fala para texto);
Plano de Saúde subsidiado pela empresa para o titular.
Gympass (Acesso a mais de 700 academias em todo o Brasil com planos a…
Postado há 30+ dias·","3,8"
CIENTISTA DE DADOS PYTHON (REMOTO),"Home office in São Paulo, SP",GeekHunter,"
Ferramentas de análise e visualização de dados;
Ter capacidade de comunicação de dados para pessoas com perfil não analítico;
O que esperamos de você.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS R,"Home office in Barueri, SP",GeekHunter,"
Modelagem estatística BigData Python Data science Machine learning.
Superior completo em estatística, matemática aplicada, engenharia, computação ou demais…
Postado há 27 dias·",Sem informacao
CIENTISTA DE DADOS PLENO - DESENVOLVIMENTO DE PRODUTOS,"São Paulo, SP",infracommerce,"
Participação na construção do framework da plataforma Infra.Data.
Atuação no desenvolvimento de soluções internas infracommerce.
Postado há 24 dias·","3,6"
CIENTISTA DE DADOS,"São Paulo, SP",GFT Technologies SE,"
Conhecimento de Ferramentas de Nuvem (preferencialmente AWS).
Big enough to deliver – small enough to care.
Postado há 1 dia·",Sem informacao
CIENTISTA DE DADOS,"Campinas, SP",Jobbol,"Empresa de Biologia Sintética admite Cientista de Dados em Campinas para atuar em Tempo integral, Comercial. Suportar, por meio de análise de dados, os…Postado há 5 dias·",Sem informacao
CIENTISTA DE DADOS SÊNIOR,"Home office in Belo Horizonte, MG",Sympla,"
Apoiar no desenvolvimento e na evolução profissional de outros cientistas do time.
Como membro do time de Data Intelligence, deverá aplicar sua experiência em…
Postado há 30+ dias·","5,0"
CIENTISTA DE DADOS SÊNIOR,"Home office in São Paulo, SP",STORMGROUP,"
Responsável por construir algoritmos matemáticos e estatísticos através de técnicas de machine learning, data mining e grandes volumes de dados com visão…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",EY,"
Conhecimento técnico de infraestruturas de dados (bancos de dados relacionais, não relacionais, etc.) e Big Data.
Conhecimento em tecnologias para IA;
Postado há 30+ dias·","4,0"
CIENTISTA DE DADOS PL,"São Paulo, SP",Porto Seguro,"
A área é responsável por liderar o uso de dados e a aplicação de soluções de Inteligência Artificial na empresa.
Estes serão explorados no processo seletivo).
Postado há 1 dia·","4,5"
CIENTISTA DE DADOS - ESPECIALISTA,Home office,Mollica IT,"
Ferramentas de visualização de dados - Tableau, Microstrategy, PowerBI etc;
Interagir com diversos stakeholders para assegurar entendimento da necessidade e…
Postado há 5 dias·",Sem informacao
CIENTISTA DE DADOS - CONSULTOR(A),"São Paulo, SP",Vivo Digital,"
Conhecimento técnico avançado de infraestruturas de banco dados (bancos de dados relacionais, não relacionais, etc.) e ambiente Big Data / Hadoop (Hive/Spark…
Postado há 10 dias·","4,3"
CIENTISTA DE DADOS SÊNIOR,"São Paulo, SP+1 local",EY,"
Experiência no uso de banco de dados (ex.: Oracle, SQL Server, MySQL, PostgreSQL, Azure SQL, MariaDB e Neo4J);
Ensino superior completo em Exatas;
Postado há 2 dias·","4,0"
CIENTISTA DE DADOS - CRM,"São Paulo, SP",Electrolux,"
Conhecimento de extração, manipulação e análise de dados através de SQL e Python;
Dessa forma, você vai identificar, analisar e interpretar tendências e padrões…
Postado há 4 dias·","3,8"
CIENTISTA DE DADOS PLENO,"Brasília, DF+1 local",marketdata,"
Domínio de linguagem SQL para manipulação de dados;
A Marketdata é uma das mais completas empresas de marketing de relacionamento do mercado latino-americano…
Postado há 5 dias·",Sem informacao
CIENTISTA DE DADOS III | PRODUTOS DIGITAIS E CANAIS PAGOS,+1 localHome office,Globo,"
Traduzir os dados em insights estratégicos;
Os seus dados pessoais serão utilizados para fins de seleção de candidatos para preenchimento das vagas abertas na…
Postado há 30+ dias·","3,5"
CIENTISTA DE DADOS,"Campinas, SP",Amyris,"
Líderes em biologia sintética, começamos em 2003 com uma bolsa da Fundação Bill & Melinda Gates para criar uma molécula para tratar a malária.
Postado há 5 dias·","3,4"
CIENTISTA DE DADOS/ENGENHEIRO MACHINE LEARNING,Home office,Indra,"
Para MLOps, o profissional poderá atuar desde as etapas de preparação dos dados à otimização dos códigos desenvolvidos;
Sólido conhecimento em SQL e Python;
Postado há 30+ dias·","3,8"
CIENTISTA DE DADOS SQL,"Home office in Barueri, SP",GeekHunter,ATIVIDADES O que você irá fazer? Responsável condução do time de monitoria de qualidade de dados sendo ponto focal dessa área e trabalhar junto aos times de…Postado há 27 dias·,Sem informacao
CIENTISTA DE DADOS MACHINE LEARNING JÚNIOR (REMOTO),"Home office in Belo Horizonte, MG",GeekHunter,"
Implantar os modelos de machine learning desenvolvidos pelos cientistas de dados;
Graduando(a) ou graduação concluída em Ciência da Computação, Engenharias,…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS SÊNIOR,"Hybrid remote in Maringá, PR",Trade Technology,"
Nosso cientista de dados vai criar modelos e produtos.
Vaga CLT - modelo Híbrido para Maringá-PR.
Repassar demandas para equipe de Devs, interagindo com o time…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS,"Campinas, SP",INSTITUTO DE PESQUISAS ELDORADO,Atuar como engenheiro de dados em parceria com grande empresa multinacional; Desenvolver novos pipelines de dados e aplicações Web; Dar manutenção e melhorar…Postado há 10 dias·,"4,5"
CIENTISTA DE DADOS,"Leme, SP",Robert Half,"
Conhecimento das técnicas e conceitos para análise e exploração de dados;
Conhecimento em R ou Python;
Postado há 30+ dias·","3,9"
CIENTISTA DE DADOS,+1 localHome office,Mollica RH,"
Conhecimento de gerenciadores de Banco de dados Oracle, SQL.
Conhecimentos da plataforma AZURE e recursos analíticos disponíveis.
Postado há 30+ dias·",Sem informacao
